"key","mainvalue","variantvalue"
"archiv","0","0"
"cena","0","0"
"cena_bezna","0","0"
"cena_dodavatel","",""
"cena_nakupni","",""
"darek_objednavka","1","1"
"delka","",""
"dodaci_doba","#"," "
"dodaci_doba_auto","1","0"
"dodavatel_id","",""
"dodavatel_kod","",""
"doprava_zdarma","0","0"
"dostupnost","#","-"
"dph","21","21"
"ean","",""
"eroticke","0","0"
"glami_cpc","1","1"
"glami_kategorie","","#"
"glami_material","",""
"glami_skryt","0","0"
"glami_voucher","",""
"glamisk_material","",""
"google_kategorie","","#"
"google_skryt","0","0"
"google_stitek_0","","#"
"google_stitek_1","","#"
"google_stitek_2","","#"
"google_stitek_3","","#"
"google_stitek_4","","#"
"heurekacz_cpc","1","1"
"heurekacz_kategorie","","#"
"heurekacz_product","","#"
"heurekacz_productname","","#"
"heurekacz_skryt","0","0"
"hmotnost","",""
"home","0","#"
"isbn","",""
"jednotka","ks","#"
"kategorie_id","","#"
"kod","",""
"kod_vyrobku","",""
"kosik","1","#"
"marze_dodavatel","",""
"na_sklade","#","0"
"nazev","",""
"odber_max","",""
"odber_min","1","#"
"odber_po","1","#"
"pocet","1","#"
"podobne","",""
"popis","",""
"popis_strucny","",""
"poznamka","",""
"priorita","0","0"
"prislusenstvi","",""
"privlastek","",""
"pro_dospele","0","0"
"recyklacni_poplatek","",""
"rozsirujici_obsah","",""
"seo_popis","",""
"seo_titulek","",""
"sklad","#","0"
"sklad_maximalni","#","#"
"sklad_minimalni","#","#"
"sklad_optimalni","#","#"
"sklad_umisteni","#","#"
"sleva","",""
"sleva_do","",""
"sleva_od","",""
"slevovy_kupon","1","1"
"sluzby","",""
"stitky","","#"
"typ","produkt","varianta"
"varianta_stejne","#","1"
"varianta1_hodnota","#",""
"varianta1_nazev","#",""
"varianta2_hodnota","#",""
"varianta2_nazev","#",""
"varianta3_hodnota","#",""
"varianta3_nazev","#",""
"variantove","","#"
"vyrobce","",""
"zaruka","",""
"zbozicz_cpc","5","5"
"zbozicz_cpc_search","5","5"
"zbozicz_extra","",""
"zbozicz_kategorie","","#"
"zbozicz_product","","#"
"zbozicz_productname","","#"
"zbozicz_skryt","0","0"
"zbozicz_stitek_0","","#"
"zbozicz_stitek_1","","#"
"zdarma","",""
"zobrazit","1","#"
